Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Claims on central government (annual growth as % of broad money) [FM.AST.CGOV.ZG.M3],"Commercial bank branches (per 100,000 adults) [FB.CBK.BRCH.P5]",Deposit interest rate (%) [FR.INR.DPST],"Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]",Wholesale price index (2010 = 100) [FP.WPI.TOTL],"Risk premium on lending (lending rate minus treasury bill rate, %) [FR.INR.RISK]",Real interest rate (%) [FR.INR.RINR],Net domestic credit (current LCU) [FM.AST.DOMS.CN],Net foreign assets (current LCU) [FM.AST.NFRG.CN]
2014,YR2014,Canada,CAN,38.72104457,..,23.14,0.55,74.41721891,1.34379E+12,..,2.089166667,1.035269466,..,..
2014,YR2014,China,CHN,22.19352292,0.542544849,8.01,2.75,114.1633973,1.19593E+13,..,..,4.522308432,1.07696E+14,2.87771E+13
2014,YR2014,Germany,DEU,32.72284322,..,14.56,..,32.63143317,1.26907E+12,..,..,..,4.09824E+12,1.68163E+12
2014,YR2014,India,IND,23.73262388,1.469906736,12.83,..,37.34122795,7.61435E+11,127.9846898,..,6.69517609,9.4642E+13,1.96396E+13
2014,YR2014,Indonesia,IDN,51.10689159,0.721863081,17.83,8.7525,10.18410275,90721490000,77.63795529,..,6.792118581,4.48E+15,1.11E+15
2014,YR2014,Malaysia,MYS,58.92833967,2.041539509,10.81,3.048107787,42.19631043,1.42651E+11,..,1.462483333,2.068518216,1.55517E+12,3.25974E+11
2014,YR2014,Qatar,QAT,0,5.664257842,13.23,1.351827604,26.53888546,54729710000,..,..,6.543701477,6.14866E+11,1.26877E+11
2014,YR2014,Poland,POL,30.70577093,2.36213394,32.93,..,10.72096404,57794630000,..,..,..,1.22228E+12,1.77224E+11
2014,YR2014,United Kingdom,GBR,12.96160046,1.986673586,..,..,76.89544235,2.35702E+12,..,0.119916667,-0.767983673,3.06559E+12,2.35878E+11
2014,YR2014,United States,USA,33.86965942,1.328046395,32.42,..,222.0805473,3.89766E+13,..,3.215,1.354775792,1.83561E+13,-2.10597E+11
2014,YR2014,United Arab Emirates,ARE,4.467755562,-2.500805443,12.75,..,34.78932641,1.44064E+11,..,..,..,1.21963E+12,2.82745E+11
2015,YR2015,Afghanistan,AFG,1.852781994,-0.069038666,2.16,..,..,..,..,..,12.25254816,-5027250038,5.45988E+11
2015,YR2015,Australia,AUS,17.3248246,0.719864858,28.75,2.304166667,55.57879971,7.50636E+11,..,..,6.206221935,2.8533E+12,-3.25532E+11
2015,YR2015,Canada,CAN,38.71643807,..,22.84,0.075,70.41879356,1.09607E+12,..,2.271666667,3.684015959,..,..
2015,YR2015,China,CHN,22.39982144,3.52091587,8.48,1.5,355.5192004,3.9326E+13,..,..,4.353072252,1.33269E+14,2.80011E+13
2015,YR2015,Germany,DEU,32.73232815,..,14.06,..,43.02535246,1.44461E+12,..,..,..,4.08893E+12,1.68675E+12
2015,YR2015,India,IND,23.82222461,2.817727144,13.52,..,38.13432641,8.02189E+11,123.0053915,..,7.556488414,1.04131E+14,2.26837E+13
2015,YR2015,Indonesia,IDN,50.61354905,1.222234082,17.64,8.336666667,8.717538597,75045300000,81.04824527,..,8.349910635,4.89E+15,1.18E+15
2015,YR2015,Malaysia,MYS,59.2427941,0.233664078,10.69,3.134487179,36.99349937,1.11482E+11,..,1.456819444,3.307037704,1.67554E+12,3.59741E+11
2015,YR2015,Qatar,QAT,0,10.59026736,10.58,1.611990162,14.93271091,24152160000,..,..,39.48937305,7.30264E+11,48720503140
2015,YR2015,Poland,POL,30.76521114,3.104290956,31.12,..,11.03050197,52627770000,..,..,..,1.31628E+12,1.92973E+11
2015,YR2015,United Kingdom,GBR,13.04096226,-0.25508731,..,..,..,..,..,..,..,3.04336E+12,2.73221E+11
2015,YR2015,United States,USA,33.89972254,-0.497345592,32.7,..,227.389074,4.13985E+13,..,3.2075,2.237075495,1.89616E+13,-2.03108E+11
2015,YR2015,United Arab Emirates,ARE,4.467755562,4.16063933,12.79,..,15.55553763,57598340000,..,..,..,1.36258E+12,2.46537E+11
2016,YR2016,Afghanistan,AFG,1.852781994,-2.280229677,2.11,..,..,..,..,..,17.58393816,-15599247247,5.82766E+11
2016,YR2016,Australia,AUS,17.42548771,1.482222386,27.74,2.141666667,65.88775006,7.94977E+11,..,..,6.062700923,3.0333E+12,-3.16302E+11
2016,YR2016,Canada,CAN,38.71201338,..,22.25,0.1,75.48237193,1.15337E+12,..,2.2,1.931406584,..,..
2016,YR2016,China,CHN,22.63049793,4.600699717,8.76,1.5,162.8643052,1.82951E+13,..,..,2.901815389,1.60007E+14,2.63294E+13
2016,YR2016,Germany,DEU,32.68548202,..,13.55,..,32.39652103,1.12411E+12,..,..,..,4.20556E+12,1.66681E+12
2016,YR2016,India,IND,23.91182535,5.761812675,14.21,..,35.22512498,8.08345E+11,122.9403633,..,6.232711415,1.14454E+14,..
2016,YR2016,Indonesia,IDN,50.74345453,1.354114441,17.26,7.165893568,9.701558799,90406630407,87.44040175,..,9.224432344,5.34E+15,1.30E+15
2016,YR2016,Malaysia,MYS,58.78752093,1.298174134,10.44,3.02803563,32.62528731,98285417642,..,1.773316667,2.825945183,1.78662E+12,3.49214E+11
2016,YR2016,Qatar,QAT,0,12.4391903,11.32,2.448029428,12.49316156,18956146618,..,..,14.30115571,8.16023E+11,-59154926753
2016,YR2016,Poland,POL,30.81420033,4.40948686,31.01,..,9.710039143,45639568724,..,..,..,1.40678E+12,2.26305E+11
2016,YR2016,United Kingdom,GBR,13.05749597,3.248326222,..,..,..,..,..,..,..,3.25491E+12,3.72777E+11
2016,YR2016,United States,USA,33.89972254,2.454848341,32.1,..,225.0392114,4.20713E+13,..,3.194166667,2.484530342,1.98895E+13,-1.03245E+11
2016,YR2016,United Arab Emirates,ARE,4.467755562,-1.021724495,12.37,..,13.39659214,49467630000,..,..,..,1.41081E+12,2.60871E+11
2017,YR2017,Afghanistan,AFG,1.852781994,-4.439011086,2.04,..,..,..,..,..,12.14117829,-33963024587,6.51219E+11
2017,YR2017,Australia,AUS,17.42291362,0.030582552,29.63,2.008333333,63.53504499,8.42772E+11,..,..,1.448037434,3.10832E+12,-3.22216E+11
